,Date,MXN Exhange Rate,CRC Exhange Rate,COP Exhange Rate,GTQ Exhange Rate
0,2012-01-31,12.980045,506.324967,1807.12456,7.785415
1,2012-02-28,12.840447,509.358967,1783.259039,7.746895
2,2012-03-31,12.710813,506.01949,1763.764386,7.731204
3,2012-04-30,12.993272,503.864003,1760.796136,7.777389
4,2012-05-31,14.241763,501.678065,1827.441649,7.804439
5,2012-06-30,13.383196,499.578696,1795.284071,7.847576
6,2012-07-31,13.280706,499.74875,1791.208669,7.824933
7,2012-08-31,13.256172,499.482625,1827.075458,7.936083
8,2012-09-30,12.862517,501.141665,1798.833333,8.009183
9,2012-10-31,13.075352,500.175699,1830.996366,7.86033
10,2012-11-30,12.92793,499.791825,1817.458406,7.90929
11,2012-12-31,12.969897,510.858046,1766.7849,7.899388
12,2013-01-31,12.704335,501.062425,1775.867786,7.837014
13,2013-02-28,12.791873,499.782826,1816.872406,7.831825
14,2013-03-31,12.325529,499.574098,1826.32938,7.76255
15,2013-04-30,12.140442,499.191099,1828.684348,7.776763
16,2013-05-31,12.781735,500.2574,1898.82728,7.796353
17,2013-06-30,12.967667,501.4643,1927.89423,7.860548
18,2013-07-31,12.756343,502.878652,1893.839793,7.82472
19,2013-08-31,13.364975,505.202649,1937.427196,7.970551
20,2013-09-30,13.08528,502.198437,1904.297348,7.92983
21,2013-10-31,12.99128,503.596479,1887.639799,7.954504
22,2013-11-30,13.10362,497.745298,1932.055016,7.890658
23,2013-12-31,13.04425,501.270201,1928.72,7.848769
24,2014-01-31,13.36065,509.843201,2015.476667,7.826226
25,2014-02-28,13.27074,507.582875,2049.306667,7.748164
26,2014-03-31,13.05953,543.739003,1969.533317,7.73019
27,2014-04-30,13.08806,548.2224,1936.044992,7.732037
28,2014-05-31,12.85641,552.406904,1898.106683,7.778281
29,2014-06-30,12.97124,544.414998,1879.213333,7.77538
30,2014-07-31,13.19951,538.396306,1876.443325,7.810024
31,2014-08-31,13.0746,541.572005,1909.726659,7.78704
32,2014-09-30,13.43804,539.5819,2025.388341,7.680964
33,2014-10-31,13.47965,541.005096,2062.506667,7.624051
34,2014-11-30,13.92297,537.701995,2198.4,7.6431
35,2014-12-31,14.74588,540.340997,2380.11,7.602873
36,2015-01-31,14.95551,536.507404,2444.77,7.651931
37,2015-02-28,14.95402,536.839498,2501.615007,7.638842
38,2015-03-31,15.25479,533.352494,2587.971657,7.643595
39,2015-04-30,15.32951,531.832802,2391.264967,7.76306
40,2015-05-31,15.38403,533.176005,2532.313307,7.67096
41,2015-06-30,15.70433,537.095602,2602.340016,7.640316
42,2015-07-31,16.15436,535.528045,2871.8,7.667918
43,2015-08-31,16.74231,534.268,3090.109993,7.68335
44,2015-09-30,16.94813,533.908902,3086.688307,7.681147
45,2015-10-31,16.51272,535.427598,2916.28165,7.68327
46,2015-11-30,16.58406,531.362998,3127.631637,7.61383
47,2015-12-31,17.25866,538.363298,3177.831676,7.638906
48,2016-01-31,18.12185,539.109996,3291.399971,7.70152
49,2016-02-28,18.27801,537.169994,3341.793294,7.70342
50,2016-03-31,17.27305,534.489523,3012.814974,7.718713
51,2016-04-30,17.18277,536.52,2865.675,7.735283
52,2016-05-31,18.47238,537.8326,3082.456641,7.632954
53,2016-06-30,18.38421,546.792597,2947.408317,7.64504
54,2016-07-31,18.75688,545.852,3073.95,7.5435
55,2016-08-31,18.77426,550.513896,2945.943366,7.551703
56,2016-09-30,19.37987,550.268628,2880.7675,7.51956
57,2016-10-31,18.88999,550.049001,2989.133333,7.50669
58,2016-11-30,20.57983,549.4479,3104.408333,7.512785
59,2016-12-31,20.73516,552.813073,3002.0,7.517347
60,2017-01-31,20.82172,548.539278,2899.159664,7.444228
61,2017-02-28,20.127279,557.509208,2919.85,7.369952
62,2017-03-31,18.71887,557.659208,2873.92,7.355482
63,2017-04-30,18.820562,560.625183,2941.68,7.372095
64,2017-05-31,18.638698,571.105,2917.75,7.331472
65,2017-06-30,18.126175,566.855059,3044.03,7.322482
